date,temperature
2014-05-18,23.5
2014-05-19,22.8
2014-05-20,25.0
2014-05-21,24.2
2014-05-22,27.0
2014-05-23,28.1
2014-05-24,20.9
2014-05-25,23.1
2014-05-26,26.3
2014-05-27,26.8
2014-05-28,28.2
2014-05-29,30.4
2014-05-30,28.8
2014-05-31,27.1
2014-06-01,24.0
2014-06-02,22.4
2014-06-03,25.4
2014-06-04,25.7
2014-06-05,28.0
2014-06-06,21.3
2014-06-07,22.6
2014-06-08,21.2
2014-06-09,22.3
2014-06-10,21.2
2014-06-11,24.3
2014-06-12,27.8
2014-06-13,25.1
2014-06-14,25.4
2014-06-15,26.6
2014-06-16,25.2
2014-06-17,22.0
2014-06-18,24.5
2014-06-19,23.7
2014-06-20,22.9
2014-06-21,22.7
2014-06-22,22.5
2014-06-23,25.2
2014-06-24,26.4
2014-06-25,24.7
2014-06-26,26.9
2014-06-27,28.6
2014-06-28,29.4
2014-06-29,28.7
2014-06-30,29.5
2014-07-01,27.9
2014-07-02,23.1
2014-07-03,25.8
2014-07-04,27.5
2014-07-05,26.9
2014-07-06,27.4
2014-07-07,27.7
2014-07-08,28.4
2014-07-09,27.3
2014-07-10,29.9
2014-07-11,29.3
2014-07-12,29.4
2014-07-13,28.0
2014-07-14,28.8
2014-07-15,28.1
2014-07-16,25.9
2014-07-17,25.7
2014-07-18,29.1
2014-07-19,31.6
2014-07-20,31.6
2014-07-21,30.8
2014-07-22,28.1
2014-07-23,27.8
2014-07-24,26.0
2014-07-25,27.3
2014-07-26,29.0
2014-07-27,29.3
2014-07-28,29.8
2014-07-29,29.6
2014-07-30,25.0
2014-07-31,27.2
2014-08-01,27.9
2014-08-02,29.3
2014-08-03,29.3
2014-08-04,24.1
2014-08-05,25.1
2014-08-06,27.8
2014-08-07,26.9
2014-08-08,26.6
2014-08-09,26.0
2014-08-10,26.2
2014-08-11,28.2
2014-08-12,26.9
2014-08-13,20.4
2014-08-14,23.6
2014-08-15,24.6
2014-08-16,26.5
2014-08-17,25.9
2014-08-18,25.5
2014-08-19,26.7
2014-08-20,27.4
2014-08-21,27.1
2014-08-22,24.8
2014-08-23,27.0
2014-08-24,26.3
2014-08-25,26.1
2014-08-26,26.8
2014-08-27,26.1
2014-08-28,24.4
2014-08-29,22.6
2014-08-30,23.1
2014-08-31,22.6
2014-09-01,22.2
2014-09-02,20.2
2014-09-03,23.0
2014-09-04,24.4
2014-09-05,23.9
2014-09-06,24.6
2014-09-07,24.9
2014-09-08,23.3
2014-09-09,22.0
2014-09-10,23.0
2014-09-11,22.1
2014-09-12,21.3
2014-09-13,22.2
2014-09-14,20.0
2014-09-15,20.5
2014-09-16,17.6
2014-09-17,18.1
2014-09-18,19.5
2014-09-19,18.7
2014-09-20,21.2
2014-09-21,21.2
2014-09-22,20.3
2014-09-23,18.1
2014-09-24,20.0
2014-09-25,18.5
2014-09-26,19.0
2014-09-27,18.7
2014-09-28,18.2
2014-09-29,17.8
2014-09-30,12.5
2014-10-01,11.8
2014-10-02,14.9
2014-10-03,15.0
2014-10-04,14.7
2014-10-05,15.0
2014-10-06,13.5
2014-10-07,13.7
2014-10-08,15.0
2014-10-09,16.1
2014-10-10,16.9
2014-10-11,17.0
2014-10-12,14.9
2014-10-13,10.2
2014-10-14,12.4
2014-10-15,14.0
2014-10-16,12.5
2014-10-17,13.4
2014-10-18,15.0
2014-10-19,16.4
2014-10-20,14.8
2014-10-21,12.0
2014-10-22,10.2
2014-10-23,12.6
2014-10-24,12.4
2014-10-25,13.5
2014-10-26,13.8
2014-10-27,9.9
2014-10-28,9.2
2014-10-29,10.9
2014-10-30,12.3
2014-10-31,13.1
2014-11-01,11.8
2014-11-02,10.8
2014-11-03,9.8
2014-11-04,7.2
2014-11-05,11.5
2014-11-06,7.4
2014-11-07,4.8
2014-11-08,5.0
2014-11-09,6.2
2014-11-10,7.0
2014-11-11,8.6
2014-11-12,5.6
2014-11-13,5.6
2014-11-14,4.8
2014-11-15,4.3
2014-11-16,6.2
2014-11-17,6.4
2014-11-18,4.4
2014-11-19,2.9
2014-11-20,3.0
2014-11-21,5.4
2014-11-22,5.3
2014-11-23,3.8
2014-11-24,4.1
2014-11-25,3.2
2014-11-26,2.9
2014-11-27,5.5
2014-11-28,4.8
2014-11-29,2.1
2014-11-30,3.5
2014-12-01,-3.5
2014-12-02,-4.9
2014-12-03,-2.7
2014-12-04,-1.9
2014-12-05,-2.6
2014-12-06,-1.9
2014-12-07,1.0
2014-12-08,-2.0
2014-12-09,-2.8
2014-12-10,-0.1
2014-12-11,0.1
2014-12-12,-0.6
2014-12-13,-2.5
2014-12-14,-1.5
2014-12-15,-0.7
2014-12-16,-3.1
2014-12-17,-2.6
2014-12-18,-3.3
2014-12-19,-0.2
2014-12-20,-1.9
2014-12-21,-1.8
2014-12-22,-0.5
2014-12-23,0.0
2014-12-24,1.0
2014-12-25,0.7
2014-12-26,-2.5
2014-12-27,-1.6
2014-12-28,1.6
2014-12-29,1.0
2014-12-30,2.0
2014-12-31,-1.9
2015-01-01,-3.1
2015-01-02,-0.8
2015-01-03,-3.1
2015-01-04,-0.1
2015-01-05,3.4
2015-01-06,-0.5
2015-01-07,-2.8
2015-01-08,-2.7
2015-01-09,-0.1
2015-01-10,1.5
2015-01-11,2.8
2015-01-12,-2.0
2015-01-13,-2.7
2015-01-14,-2.4
2015-01-15,-3.6
2015-01-16,-1.2
2015-01-17,-2.5
2015-01-18,1.0
2015-01-19,0.0
2015-01-20,-1.6
2015-01-21,0.7
2015-01-22,-2.3
2015-01-23,-1.5
2015-01-24,1.1
2015-01-25,0.4
2015-01-26,-1.2
2015-01-27,-4.7
2015-01-28,-2.6
2015-01-29,-0.3
2015-01-30,-2.8
2015-01-31,-2.4
2015-02-01,-3.3
2015-02-02,-1.9
2015-02-03,1.5
2015-02-04,1.5
2015-02-05,3.1
2015-02-06,2.2
2015-02-07,0.7
2015-02-08,-4.1
2015-02-09,-2.6
2015-02-10,1.9
2015-02-11,3.6
2015-02-12,1.6
2015-02-13,0.3
2015-02-14,1.9
2015-02-15,2.8
2015-02-16,4.5
2015-02-17,5.2
2015-02-18,4.3
2015-02-19,1.2
2015-02-20,0.3
2015-02-21,0.9
2015-02-22,-0.5
2015-02-23,-0.2
2015-02-24,0.9
2015-02-25,2.7
2015-02-26,0.7
2015-02-27,-0.2
2015-02-28,-0.8
2015-03-01,4.6
2015-03-02,5.6
2015-03-03,2.3
2015-03-04,1.0
2015-03-05,1.5
2015-03-06,2.7
2015-03-07,5.1
2015-03-08,6.0
2015-03-09,0.2
2015-03-10,1.7
