date,humidity
2014-09-27,65.9
2014-09-28,76.9
2014-09-29,61.9
2014-09-30,49.5
2014-10-01,81.4
2014-10-02,81.2
2014-10-03,85.9
2014-10-04,92.1
2014-10-05,65.2
2014-10-06,58.5
2014-10-07,73.5
2014-10-08,83.4
2014-10-09,85.7
2014-10-10,84.6
2014-10-11,78.0
2014-10-12,39.8
2014-10-13,41.9
2014-10-14,51.9
2014-10-15,45.9
2014-10-16,44.4
2014-10-17,59.2
2014-10-18,67.9
2014-10-19,76.2
2014-10-20,86.4
2014-10-21,47.2
2014-10-22,69.5
2014-10-23,74.1
2014-10-24,85.9
2014-10-25,88.6
2014-10-26,36.8
2014-10-27,31.4
2014-10-28,63.1
2014-10-29,70.2
2014-10-30,71.3
2014-10-31,78.8
2014-11-01,52.5
2014-11-02,23.0
2014-11-03,42.9
2014-11-04,65.7
2014-11-05,43.2
2014-11-06,33.4
2014-11-07,54.8
2014-11-08,66.0
2014-11-09,57.7
2014-11-10,53.7
2014-11-11,41.7
2014-11-12,17.2
2014-11-13,29.6
2014-11-14,37.3
2014-11-15,50.2
2014-11-16,50.9
2014-11-17,35.2
2014-11-18,48.8
2014-11-19,71.9
2014-11-20,79.8
2014-11-21,54.0
2014-11-22,38.8
2014-11-23,79.8
2014-11-24,53.1
2014-11-25,72.9
2014-11-26,82.2
2014-11-27,30.8
2014-11-28,50.4
2014-11-29,88.3
2014-11-30,42.3
2014-12-01,21.4
2014-12-02,31.9
2014-12-03,22.1
2014-12-04,19.0
2014-12-05,26.0
2014-12-06,35.0
2014-12-07,41.4
2014-12-08,43.7
2014-12-09,65.5
2014-12-10,50.6
2014-12-11,27.4
2014-12-12,24.7
2014-12-13,38.5
2014-12-14,40.2
2014-12-15,32.5
2014-12-16,26.6
2014-12-17,35.9
2014-12-18,60.4
2014-12-19,40.8
2014-12-20,26.7
2014-12-21,26.2
2014-12-22,40.3
2014-12-23,42.0
2014-12-24,31.3
2014-12-25,36.6
2014-12-26,59.1
2014-12-27,57.6
2014-12-28,44.8
2014-12-29,43.4
2014-12-30,32.0
2014-12-31,20.5
2015-01-01,24.2
2015-01-02,28.1
2015-01-03,45.6
2015-01-04,42.2
2015-01-05,33.2
2015-01-06,19.5
2015-01-07,38.0
2015-01-08,55.5
2015-01-09,37.7
2015-01-10,36.3
2015-01-11,28.1
2015-01-12,56.7
2015-01-13,68.0
2015-01-14,67.1
2015-01-15,79.3
2015-01-16,46.5
2015-01-17,36.5
2015-01-18,35.1
2015-01-19,36.0
2015-01-20,55.8
2015-01-21,36.9
2015-01-22,49.0
2015-01-23,53.0
2015-01-24,50.6
2015-01-25,79.0
2015-01-26,52.2
2015-01-27,28.5
2015-01-28,29.9
2015-01-29,41.3
2015-01-30,25.4
2015-01-31,24.0
2015-02-01,33.7
2015-02-02,41.1
2015-02-03,54.7
2015-02-04,27.0
2015-02-05,29.0
2015-02-06,35.7
2015-02-07,23.9
2015-02-08,19.6
2015-02-09,31.7
2015-02-10,29.7
2015-02-11,27.2
2015-02-12,35.3
2015-02-13,50.5
2015-02-14,48.9
2015-02-15,47.6
2015-02-16,41.9
2015-02-17,30.9
2015-02-18,31.0
2015-02-19,59.4
2015-02-20,94.5
2015-02-21,72.8
2015-02-22,22.7
2015-02-23,38.0
2015-02-24,62.3
2015-02-25,37.5
2015-02-26,23.9
2015-02-27,36.9
2015-02-28,87.7
2015-03-01,40.3
2015-03-02,35.7
2015-03-03,12.3
2015-03-04,15.6
2015-03-05,29.7
2015-03-06,44.6
2015-03-07,55.2
2015-03-08,42.3
2015-03-09,12.8
2015-03-10,19.2
2015-03-11,22.5
2015-03-12,29.0
2015-03-13,38.2
2015-03-14,50.1
2015-03-15,32.7
2015-03-16,58.2
2015-03-17,54.3
2015-03-18,32.2
2015-03-19,30.4
2015-03-20,18.1
2015-03-21,9.2
2015-03-22,15.3
2015-03-23,27.5
2015-03-24,30.3
2015-03-25,46.4
2015-03-26,40.0
2015-03-27,42.7
2015-03-28,34.0
2015-03-29,42.5
2015-03-30,50.3
2015-03-31,75.9
2015-04-01,55.3
2015-04-02,75.0
